iata,lon,iso,status,name,continent,type,lat,size
GOH,-51.725,GL,1,Godthaab / Nuuk Airport,NA,airport,64.181946,medium
JGO,,GL,1,Qeqertarsuaq Heliport,NA,heliport,,
IKE,,GL,1,Ikerasak Heliport,NA,heliport,,
QFI,,GL,1,Iginniarfik,NA,heliport,,
XIQ,,GL,1,Ilimanaq Heliport,NA,heliport,,
INN,,GL,1,Innarsuit Heliport,NA,heliport,,
ISO,,GL,1,Isortoq Heliport,NA,heliport,,
QJI,,GL,1,Ikamiut Heliport,NA,heliport,,
JJU,,GL,1,Qaqortoq Heliport,NA,heliport,,
JAV,-51.05991,GL,1,Ilulissat Airport,NA,airport,69.24186,small
QPW,,GL,1,Kangaatsiaq Heliport,NA,heliport,,
KUS,-37.11667,GL,1,Kulusuk Airport,NA,airport,65.566666,small
UPK,,GL,1,Upernavik Kujalleq Heliport,NA,heliport,,
KMT,,GL,1,Kuummiut Heliport,NA,heliport,,
KLQ,,GL,1,Kullorsuaq Heliport,NA,heliport,,
KAQ,,GL,1,Kangersuatsiaq Heliport,NA,heliport,,
QJE,,GL,1,Kitsissuarsuit Heliport,NA,heliport,,
ILL,,GL,1,Illorsuit Heliport,NA,heliport,,
MOR,,GL,1,Moriusaq Heliport,NA,heliport,,
JSU,-52.93537,GL,1,Maniitsoq Airport,NA,airport,65.41244,small
QMK,,GL,1,Niaqornaarsuk Heliport,NA,heliport,,
JNN,,GL,1,Nanortalik Heliport,NA,heliport,,
NUG,,GL,1,Nuugaatsiaq Heliport,NA,heliport,,
JNS,,GL,1,Narsaq Heliport,NA,heliport,,
NIA,,GL,1,Niaqornat Heliport,NA,heliport,,
NUS,,GL,1,Nuussuaq Heliport,NA,heliport,,
JFR,-49.70028,GL,1,Paamiut Airport,NA,airport,62.00028,small
QQT,,GL,1,Qeqertaq Heliport,NA,heliport,,
NAQ,-69.382996,GL,1,Qaanaaq Airport,NA,airport,77.48948,small
OBY,,GL,1,Ittoqqortoormiit Heliport,NA,heliport,,
SFJ,-50.719723,GL,1,Kangerlussuaq Airport,NA,airport,67.01222,medium
SMG,,GL,1,Sermiligaaq Heliport,NA,heliport,,
SIO,,GL,1,Siorapaluk Heliport,NA,heliport,,
QUP,,GL,1,Saqqaq Heliport,NA,heliport,,
JHS,-53.704166,GL,1,Sisimiut Airport,NA,airport,66.93694,small
SAA,,GL,1,Saattut Heliport,NA,heliport,,
SAV,,GL,1,Savissivik Heliport,NA,heliport,,
THU,-68.7,GL,1,Thule Air Base,NA,airport,76.53333,medium
TNT,,GL,1,Tiniteqilaaq Heliport,NA,heliport,,
JUV,-56.130554,GL,1,Upernavik Airport,NA,airport,72.790276,small
UMD,,GL,1,Uummannaq Heliport,NA,heliport,,
JQA,-52.702778,GL,1,Qaarsut Airport,NA,airport,70.73194,small
UKK,,GL,1,Ukkusissat Heliport,NA,heliport,,
BHL,-113.55,MX,1,,NA,airport,28.95,small
AEY,-18.075068,IS,1,Akureyri Airport,EU,airport,65.654564,medium
BIU,-23.983334,IS,1,Bildudalur Airport,EU,airport,65.833336,small
